id,disease name,_primary_missing_count,_which_primary_missing
2289,Necrosis,7,"symptoms, causes, diagnosis and tests, management and treatment, outlook / prognosis, prevention, living with"
1,1918 Influenza Pandemic (Spanish Flu),6,"causes, diagnosis and tests, management and treatment, outlook / prognosis, prevention, living with"
218,Antigen,6,"symptoms, causes, management and treatment, outlook / prognosis, prevention, living with"
414,Bile Duct Injuries During Gallbladder Surgery,6,"symptoms, causes, diagnosis and tests, management and treatment, prevention, living with"
953,Defecography,5,"symptoms, causes, management and treatment, prevention, living with"
2430,Oral Health Problems and Diabetes,5,"symptoms, causes, diagnosis and tests, management and treatment, outlook / prognosis"
2733,Post-Gastrectomy Syndrome,5,"symptoms, causes, diagnosis and tests, prevention, living with"
2940,Redundant Prepuce,5,"symptoms, causes, diagnosis and tests, prevention, living with"
91,Advanced Maternal Age,4,"symptoms, causes, prevention, living with"
599,Candida Albicans,4,"diagnosis and tests, outlook / prognosis, prevention, living with"
1491,Heart Disease & Pregnancy,4,"management and treatment, outlook / prognosis, prevention, living with"
1604,Hitchhiker's Thumb,4,"diagnosis and tests, management and treatment, prevention, living with"
1746,Immunotherapy Side Effects,4,"diagnosis and tests, outlook / prognosis, prevention, living with"
2882,Pulsatile Tinnitus,4,"diagnosis and tests, outlook / prognosis, prevention, living with"
3341,Swollen Gums,4,"diagnosis and tests, outlook / prognosis, prevention, living with"
114,Alcohol-Induced Hepatitis,3,"causes, prevention, living with"
170,Anemia in Newborns,3,"outlook / prognosis, prevention, living with"
213,Anteverted Uterus,3,"management and treatment, prevention, living with"
317,Attention-Deficit/Hyperactivity Disorder (ADHD) in Adults,3,"symptoms, causes, prevention"
491,Brachycephaly,3,"outlook / prognosis, prevention, living with"
518,Brenner Tumor,3,"outlook / prognosis, prevention, living with"
557,Bulging Veins,3,"diagnosis and tests, outlook / prognosis, prevention"
588,Calcaneus Fracture (Broken Heel),3,"outlook / prognosis, prevention, living with"
731,Choking,3,"diagnosis and tests, outlook / prognosis, living with"
753,Chronic Diarrhea,3,"diagnosis and tests, outlook / prognosis, prevention"
891,Cracked Nipples (Nipple Fissures),3,"outlook / prognosis, prevention, living with"
907,Crow's Feet (Lateral Canthal Lines),3,"diagnosis and tests, outlook / prognosis, prevention"
1170,Ephebiphobia (Fear of Teenagers),3,"causes, outlook / prognosis, prevention"
1190,Equinophobia (Fear of Horses),3,"causes, outlook / prognosis, prevention"
1219,Estrogen-Dependent Cancers,3,"outlook / prognosis, prevention, living with"
1377,Gastropathy,3,"outlook / prognosis, prevention, living with"
1439,Grief,3,"diagnosis and tests, management and treatment, prevention"
1528,Hemolysis,3,"outlook / prognosis, prevention, living with"
1552,Hepatoblastoma,3,"management and treatment, prevention, living with"
1638,Hymenal Tag,3,"outlook / prognosis, prevention, living with"
1865,Kidney Transplant Rejection,3,"outlook / prognosis, prevention, living with"
1877,Knee Pain in Teens,3,"diagnosis and tests, outlook / prognosis, living with"
1913,Leaky Gut Syndrome,3,"outlook / prognosis, prevention, living with"
1987,Low Libido (Low Sex Drive),3,"outlook / prognosis, prevention, living with"
2109,Menarche,3,"diagnosis and tests, outlook / prognosis, prevention"
2215,Multiple Chemical Sensitivity,3,"outlook / prognosis, prevention, living with"
2439,Ornithophobia (Fear of Birds),3,"causes, outlook / prognosis, prevention"
2479,Overeating,3,"diagnosis and tests, outlook / prognosis, living with"
2912,Radon Gas,3,"management and treatment, outlook / prognosis, living with"
3023,SARS (Severe Acute Respiratory Syndrome),3,"diagnosis and tests, outlook / prognosis, living with"
3026,SIDS (Sudden Infant Death Syndrome),3,"diagnosis and tests, management and treatment, outlook / prognosis"
3319,Sudden Cardiac Death,3,"management and treatment, outlook / prognosis, living with"
3348,"Symbrachydactyly (Short, Joined Fingers)",3,"diagnosis and tests, prevention, living with"
3371,Talus Fracture,3,"causes, prevention, living with"
3400,Tetralogy of Fallot,3,"causes, prevention, living with"
3456,Toothache,3,"diagnosis and tests, outlook / prognosis, prevention"
3506,Trimalleolar Fracture,3,"causes, prevention, living with"
3538,Type 5 Diabetes,3,"outlook / prognosis, prevention, living with"
3546,Ultraviolet Radiation and Skin Cancer,3,"causes, diagnosis and tests, management and treatment"
3639,Vasodilation,3,"diagnosis and tests, outlook / prognosis, prevention"
3667,Vesicovaginal Fistula,3,"outlook / prognosis, prevention, living with"
3682,Visceral Fat,3,"outlook / prognosis, prevention, living with"
